ElapsedTime,GameWinner,PointNumber,PointWinner,Rally
00:00:00,0,0,0.0,0.0
0:00:00,0,1,2.0,3.0
0:00:41,0,2,2.0,9.0
0:01:29,0,3,2.0,1.0
0:01:51,2,4,2.0,7.0
0:03:09,0,5,2.0,6.0
0:03:45,0,6,2.0,14.0
0:04:53,0,7,1.0,11.0
0:05:42,0,8,1.0,11.0
0:06:30,0,9,1.0,5.0
0:07:08,0,10,2.0,12.0
0:08:07,0,11,1.0,5.0
0:08:48,0,12,2.0,6.0
0:09:39,0,13,2.0,2.0
0:10:20,0,14,1.0,15.0
0:11:13,0,15,1.0,1.0
0:12:22,0,16,2.0,4.0
0:13:08,0,17,1.0,7.0
0:14:54,0,18,2.0,18.0
0:16:17,0,19,1.0,1.0
0:16:45,1,20,1.0,1.0
0:17:40,0,21,1.0,16.0
0:18:51,0,22,2.0,1.0
0:19:18,0,23,1.0,8.0
0:19:59,0,24,2.0,5.0
0:20:42,0,25,2.0,5.0
0:21:14,0,26,1.0,4.0
0:22:06,0,27,2.0,1.0
0:22:47,2,28,2.0,7.0
0:23:47,0,29,2.0,16.0
0:24:47,0,30,1.0,1.0
0:25:47,0,31,1.0,13.0
0:26:47,0,32,1.0,15.0
0:27:47,1,33,1.0,1.0
0:28:47,0,34,2.0,1.0
0:29:47,0,35,2.0,3.0
0:30:47,0,36,1.0,4.0
0:31:47,0,37,2.0,9.0
0:32:47,2,38,2.0,1.0
0:33:47,0,39,1.0,1.0
0:34:47,0,40,2.0,8.0
0:35:47,0,41,1.0,1.0
0:36:47,0,42,1.0,11.0
0:37:47,1,43,1.0,5.0
0:38:47,0,44,2.0,3.0
0:40:40,0,45,2.0,7.0
0:41:15,0,46,1.0,8.0
0:42:14,0,47,2.0,3.0
0:42:46,2,48,2.0,5.0
0:43:46,0,49,1.0,5.0
0:45:28,0,50,1.0,9.0
0:46:09,0,51,2.0,0.0
0:46:49,0,52,1.0,27.0
0:48:14,1,53,1.0,3.0
0:49:12,0,54,2.0,7.0
0:49:47,0,55,1.0,4.0
0:50:36,0,56,2.0,1.0
0:51:10,0,57,2.0,25.0
0:52:15,2,58,2.0,9.0
0:53:15,0,59,2.0,0.0
0:55:08,0,60,1.0,3.0
0:55:37,0,61,2.0,20.0
0:56:43,0,62,2.0,38.0
0:58:32,2,63,2.0,6.0
0:59:32,0,64,2.0,7.0
1:00:32,0,65,2.0,9.0
